"Distribution_House","director","column8","column4","column3","column1","column7","column2"
"","","","","","","",""
"Magnolia Pictures","Damian Lee","Action ","","","","ComingSoon.net","A Dark Truth"
"Eros International","Aditya Datt","Thriller film|Thriller ","","","","BoxOfficeMojo.com","Table No. 21"
"Lions Gate Entertainment|Lionsgate","John Luessenhop","Horror ","","","","ComingSoon.net","Texas Chainsaw 3D"
"Block 2 Pictures / Jet Tone Films","Wong Kar-wai","Drama ","","","","Berlinale.de","The Grandmaster (film)|The Grandmaster"
"Open Road Films","Michael Tiddes","Horror ","","","","ComingSoon.net","A Haunted House (film)|A Haunted House"
"Warner Bros.","Ruben Fleischer","Action, Crime ","","","","ComingSoon.net","Gangster Squad"
"Fox Star Studios","Vishal Bhardwaj","Romantic comedy film|Romantic Comedy ","","","","BoxOfficeMojo.com","Matru Ki Bijlee Ka Mandola"
"Tribeca Film","Brian Dannelly","Comedy, Drama ","","","","ComingSoon.net","Struck by Lightning (2012 film)|Struck by Lightning"
"Paramount Pictures / Metro-Goldwyn-Mayer|MGM","Tommy Wirkola","Action, Fantasy ","","","","hanselandgretelmovie.com","Hansel and Gretel: Witch Hunters"
"20th Century Fox","Hughes brothers|Allen Hughes","Crime ","","","","ComingSoon.net","Broken City (film)|Broken City"
"Indomina Media","Sheldon Candis","Drama ","","","","BoxOfficeMojo.com","LUV (film)|LUV"
"Universal Studios|Universal Pictures","Andres Muschietti","Thriller ","","","","ComingSoon.net","Mama (2013 film)|Mama"
"Anchor Bay Films","Brian A Miller","Action ","","","","BoxOfficerMojo.com","Officer Down"
"Lions Gate Entertainment|Lionsgate","Kim Ji-woon","Action ","","","","ComingSoon.net","The Last Stand (2013 film)|The Last Stand"
"Magnolia Pictures","Don Coscarelli","Comedy, Horror ","","","","boxofficemojo.com","John Dies at the End (film)|John Dies at the End"
"IFC Films","Bill Guttentag","Political Thriller ","","","","boxofficemojo.com","Knife Fight"
"Relativity Media","Patrik Forsberg","Comedy ","","","","ComingSoon.net","Movie 43"
"FilmDistrict","Taylor Hackford","Action ","","","","ComingSoon.net","Parker (2013 film)|Parker"
"Tips Music Films","Abbas-Mustan","Action ","","","","BoxOfficeMojo.com","Race 2"
"Chabial","Mostofa Sarwar Farooki","Drama ","","","","imdb.com","Television (film)|Television"
"Warner Bros.","Walter Hill","Action ","","","","ComingSoon.net","Bullet to the Head"
"Therapy Studios","Dave Grohl","","","","","BoxOfficeMojo.com","Sound City (film)|Sound City"
"Lions Gate Entertainment|Lionsgate","Fisher Stevens","Crime, Comedy ","","","","ComingSoon.net","Stand Up Guys"
"Lions Gate Entertainment|Lionsgate","Tom Elkins","Horror ","","","","ComingSoon.net","The Haunting in Connecticut 2: Ghosts of Georgia"
"Summit Entertainment","Jonathan Levine","Horror, Romance film|Romance ","","Horror, Romance film|","Horror, Romance film|","ComingSoon.net","Warm Bodies (film)|Warm Bodies"
"A24 Films|A24","Roman Coppola","Comedy ","","","","ComingSoon.net","A Glimpse Inside the Mind of Charles Swan III"
"Working Title Films","Dan Mazer","Comedy ","","","","www.bbfc.co.uk","I Give It a Year"
"Universal Studios|Universal Pictures","Seth Gordon","Action, Comedy ","","","","ComingSoon.net","Identity Thief"
"Open Road Films","Steven Soderbergh","Crime ","","","","ComingSoon.net","Side Effects (2013 film)|Side Effects"
"Viacom 18 Motion Pictures","Neeraj Pandey","Crime ","","","","http://www.imdb.com","Special 26"
"Paramount Pictures","Tony Scott","Action ","","","","ComingSoon.net","Top Gun|Top Gun 3D"
"Huayi Brothers / China Film Group","Stephen Chow, Derek Kwok","Action, Comedy ","","","","HollywoodReporter.com","Journey to the West: Conquering the Demons"
"20th Century Fox","John Moore","Action, Thriller (genre)|Thriller ","Action, Thriller (genre)|","Action, Thriller (genre)|","","ComingSoon.net","A Good Day to Die Hard"
"Warner Bros.","Richard LaGravenese","Romance, Teen film|Teen ","","omance, Teen film|","Romance, Teen film|","ComingSoon.net","Beautiful Creatures (2013 film)|Beautiful Creatures"
"Fox Star Studios","Vishesh Bhatt","Thriller ","","","","boxofficemojo.com","Murder 3"
"Relativity Media","Lasse Hallström","Romance ||<center><ref>{{cite web | title=Safe Haven | publisher=ComingSoon.net | url=http://www.comingsoon.net/films.php?id=68597 | accessdate=2011-02-02}}</ref></center>","","","","","Safe Haven (film)|Safe Haven"
"The Weinstein Company","Cal Brunker","Comedy, Family, Sci-Fi ","","","","ComingSoon.net","Escape from Planet Earth"
"Arenas Entertainment","Carl Franklin","Drama ","","","","BoxOfficeMojo.com","Bless Me, Ultima (film)|Bless Me, Ultima"
"Dimension Films","Scott Charles Stewart","Horror, Science fiction film|Sci-Fi ","","Horror, Science fiction film|","","ComingSoon.net","Dark Skies (film)|Dark Skies"
"Summit Entertainment","Ric Roman Waugh","Action ","","","","ComingSoon.net","Snitch (film)|Snitch"
"Magnolia Pictures","Terrence Malick","Romantic drama ","","","","Odeon.co.uk","To the Wonder"
"Relativity Media","Jon Lucas, Scott Moore (screenwriter)|Scott Moore","Comedy ","","","","ComingSoon.net","21 & Over (film)|21 & Over"
"Reliance Entertainment","Kapil Sharma","Drama, Musical ","","","","bollywoodhungama.com","I, Me Aur Main"
"Warner Bros. / New Line Cinema","Bryan Singer","Action, Adventure, Fantasy ","","","","ComingSoon.net","Jack the Giant Slayer"
"RCR Media Group","Todd Robinson (film director)|Todd Robinson","Crime ","","","","ComingSoon.net","Phantom (2013 film)|Phantom"
"Fox Searchlight Pictures","Park Chan-wook","Thriller (genre)|Thriller ","","","","ComingSoon.net","Stoker (film)|Stoker"
"Eros International","Ram Gopal Varma","Docudrama ","","","","sulekha.com","The Attacks of 26/11"
"CBS Films","Ed Gass-Donnelly","Horror, Thriller (genre)|Thriller ","Horror, Thriller (genre)|","Horror, Thriller (genre)|","","ComingSoon.net","The Last Exorcism Part II"
"FilmDistrict","Niels Arden Oplev","Action ","","","","ComingSoon.net","Dead Man Down"
"Lions Gate Entertainment|Lionsgate / Roadside Attractions","Peter Webber","Drama, War ||<center><ref>{{cite web | url=http://www.boxofficemojo.com/movies/?id=emperor.htm | title=Emperor | publisher=BoxOffice Mojo.com | accessdate=2013-03-11}}</ref></center>","","","","","Emperor (film)|Emperor"
"El Deseo","Pedro Almodóvar","Comedy ||<center><ref>{{cite web | url=http://www.moviepre.com/im-so-excited | title=Im-So-Excited | publisher=moviepre.com | accessdate=2013-04-05}}</ref></center>","","","","","I'm So Excited (film)|I'm So Excited"
"Walt Disney Pictures / Joe Roth|Roth Films","Sam Raimi","Fantasy, Adventure, Family ||<center><ref>{{cite web | url=http://www.deadline.com/2011/05/disney-sets-oz-the-great-and-powerful-for-march-08-2013/ | title=Disney Sets Oz | publisher=Deadline.com | accessdate=2011-05-25}}</ref></center>","","enture, Family |","","","Oz the Great and Powerful"
"The Film Company","Mark Lamprell","Romantic comedy film|Romantic Comedy ||<center><ref>{{cite web | url=http://villagecinemas.com.au/Movies/Goddess.htm | title=Goddess  | publisher=villagecinemas.com.au | accessdate=2013-04-27}}</ref></center>","","","","","Goddess (2013 film)|Goddess"
"A24 Films|A24","Harmony Korine","Crime film|Crime, Comedy ","","","","inquisitr.com","Spring Breakers"
"TriStar Pictures","Brad Anderson","Mystery film|Mystery ","","","","ComingSoon.net","The Call (2013 film)|The Call"
"Warner Bros. / New Line Cinema","Don Scardino","Comedy ","","","","ComingSoon.net","The Incredible Burt Wonderstone"
"IFC Films","Eran Creevy","Crime ","","","","odeon.co.uk","Welcome to the Punch"
"Focus Features","Paul Weitz (filmmaker)|Paul Weitz","Comedy ","","","","ComingSoon.net","Admission (2013 film)|Admission"
"Freestyle Releasing","Vince Offer","Comedy ","","","","ComingSoon.net","Inappropriate Comedy"
"IFC Films","Danny Mooney","Romance, Drama ","","","","BoxOfficeMojo.com","Love and Honor (2013 film)|Love and Honor"
"FilmDistrict","Antoine Fuqua","Action ","","","","ComingSoon.net","Olympus Has Fallen"
"20th Century Fox / DreamWorks Animation","Chris Sanders","Adventure, Comedy, Family ","","","","ComingSoon.net","The Croods"
"Paramount Pictures / Metro-Goldwyn-Mayer|MGM","Jon Chu","Action, Adventure, Sci-Fi ","","","","allocine.fr","G.I. Joe: Retaliation"
"Danny Boyle (director); John Hodge (screenwriter)|John Hodge, Joe Ahearne (screenplay); James McAvoy, Vincent Cassell, Rosario Dawson, Tuppence Middleton, Lee Nicholas Harris","Crime || <center><ref>{{cite web | url=http://www.imdb.com/title/tt1924429/2 | title=Trance | publisher=imdb.com | accessdate=2012-06-02}}</ref></center>","","","","","","Trance (2013 film)|Trance"
"UTV Motion Pictures","Sajid Khan","Romance ","","","","boxofficemojo.com","Himmatwala (2013 film)|Himmatwala"
"Lions Gate Entertainment|Lionsgate","Tyler Perry","Drama, Romance ","","","","ComingSoon.net","Temptation: Confessions of a Marriage Counselor"
"Open Road Films","Andrew Niccol","Sci-Fi, Romance film|Romance, Teen film|Teen ","","omance, Teen film|","Fi, Romance film|","ComingSoon.net","The Host (2013 film)|The Host"
"Focus Features","Derek Cianfrance","Drama ","","","","ComingSoon.net","The Place Beyond the Pines"
"Drafthouse Films","Mr. Oizo","Comedy ","","","","boxofficemojo.com","Wrong (film)|Wrong"
"Toei Company","Masahiro Hosoda","Action, Adventure ","","","","comicbookmovie.com| accessdate=2013-07-08}}</ref></center>","Dragon Ball Z: Battle of Gods"
"","","","","","","",""
"","","","","","","",""
"Parameswara Art Productions","Srinu Vaitla","Action","","","","123telugu.com","Baadshah (2013 film)|Baadshah"
"TriStar Pictures / FilmDistrict","Fede Alvarez","Horror ","","","","ComingSoon.net","Evil Dead (2013 film)|Evil Dead"
"Universal Studios|Universal Pictures","Steven Spielberg","Adventure, Sci-Fi ","","","","ComingSoon.net","Jurassic Park (film)|Jurassic Park 3D"
"UTV Motion Pictures","R. Kannan","Comedy ","","","","boxofficemojo.com","Settai"
"Magnolia Pictures"," Ramaa Mosley","Fantasy, Comedy ","","","","BoxOfficeMojo.com","The Brass Teapot"
"ERBP","Shane Carruth","Romance, Thriller ","","","","Comingsoon.net","Upstream Color"
"Cinema Service","Kang Woo-suk","Sports Drama film|Drama ","","","","hancinema.net","Fist of Legend (2013 film)|Fist of Legend"
"Universal Studios|Universal Pictures","Joseph Kosinski","Action, Sci-Fi ","","","","ComingSoon.net","Oblivion (2013 film)|Oblivion"
"Warner Bros.","Brian Helgeland","Biography, Drama, Sports ","","","","ComingSoon.net","42 (film)|42"
"LD Entertainment","Henry Alex-Rubin","Crime ","","","","ComingSoon.net","Disconnect (2012 film)|Disconnect"
"Oscilloscope Laboratories","Todd Berger","Comedy ","","","","oscilloscope.net","It's a Disaster"
"Dimension Films","Malcolm D. Lee","Horror ","","","","ComingSoon.net","Scary Movie 5"
"IFC Films","Conor Allyn","Action ","","","","megatrailer.tv","Java Heat"
"Samuel Goldwyn Films / Provident Films","David Boyd (cinematographer)|David Boyd","Sports, Drama ","","","","ComingSoon.net","Home Run (film)|Home Run"
"Anchor Bay Films","Rob Zombie","Horror ","","","","ComingSoon.net","The Lords of Salem (film)|The Lords of Salem"
"Sony Pictures Classics","Ramin Bahrani","Drama ","","","","comingsoon.net","At Any Price (film)|At Any Price"
"Marvel Studios / Walt Disney Studios Motion Pictures","Shane Black","Action, Adventure, Sci-Fi ","","","","ComingSoon.net","Iron Man 3"
"Cinedigm Entertainment","Dante Ariola","Romantic comedy film|Romantic Comedy ","","","","comingsoon.net","Arthur Newman (film)|Arthur Newman"
"Lions Gate Entertainment|Lionsgate / Roadside Attractions","Jeff Nichols","Drama ","","","","movieweb.com","Mud (2012 film)|Mud"
"Paramount Pictures","Michael Bay","Action, Comedy ","","","","ComingSoon.net","Pain & Gain"
"China Film Group","Zhao Wei","Drama ","","","","ChineseFilms.Cn","So Young (film)|So Young"
"Lions Gate Entertainment|Lionsgate","Justin Zackham","Romantic comedy ","","","","ComingSoon.net","The Big Wedding"
"Film4 Productions","Michael Winterbottom","Comedy, Drama ","","","","Odeon.co.uk| accessdate=2013-07-01}}</ref></center>","The Look of Love (film)|The Look of Love"
"Viacom 18 Motion Pictures","Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Anthology film|Anthology ","","","","","Bombay Talkies (film)|Bombay Talkies"
"Focus World","Daniel Algrant","Biography, Drama ","","","","comingsoon.net","Greetings from Tim Buckley"
"Magnolia Pictures","Alexandra Cassavetes","Drama ","","","","boxofficemojo.com","Kiss of the Damned"
"Balaji Motion Pictures","Sanjay Gupta","Crime, Thriller (genre)|Thriller ","Crime, Thriller (genre)|","","","","Shootout at Wadala"
"Millennium Entertainment","Ariel Vromen","Drama, Thriller ||<center><ref>{{cite web | url=http://www.boxofficemojo.com/movies/?id=iceman2013.htm| title=The Iceman | publisher=boxofficemojo.com | accessdate=2013-05-04}}</ref></center>","","","","","The Iceman (film)|The Iceman"
"Millennium Entertainment","Scott McGehee, David Siegel (screenwriter)|David Siegel","Drama ","","","","boxofficemojo.com","What Maisie Knew (film)|What Maisie Knew"
"Paramount Pictures / Bad Robot","J. J. Abrams","Action, Adventure, Sci-Fi ","","","","","Star Trek Into Darkness"
"Dimension Films","Nicolas Lopez","","","","","ComingSoon.net","Aftershock (2012 film)|Aftershock"
"Eros International","Raj Nidimoru and Krishna D.K.","Comedy ","","","","bollywoodhungama.com","Go Goa Gone"
"Warner Bros.","Michael Urie","Comedy ","","","","ComingSoon.net","He's Way More Famous Than You"
"Anchor Bay Films","Ryuhei Kitamura","Horror ","","","","ComingSoon.net","No One Lives"
"Lions Gate Entertainment|Lionsgate","Tina Gordon Chism","Comedy ","","","","ComingSoon.net","Tyler Perry Presents Peeples"
"Yash Raj Films","Atul Sabharwal","Thriller ","","","","indiatimes.com","Aurangzeb (film)|Aurangzeb"
"LD Entertainment","Katie Aselton","Horror ","","","","ComingSoon.net","Black Rock (2012 film)|Black Rock"
"Universal Studios|Universal Pictures","Justin Lin","Action ","","","","filmdates.co.uk| url=http://www.filmdates.co.uk/films/2769-fast-and-furious-6/","Fast & Furious 6"
"IFC Films","Noah Baumbach","Drama, Comedy ","","","","indiewire.com","Frances Ha"
"Artina Films","Craig Zisk","Comedy, Drama ","","","","ComingSoon.net","The English Teacher (film)|The English Teacher"
"Mira Nair (Director); Riz Ahmed, Kate Hudson, Liev Schreiber, Kiefer Sutherland, Om Puri, Shabana Azmi, Meesha Shafi and Imaad Shah"," Political thriller, Drama || <center><ref>{{cite web | url=http://timesofindia.indiatimes.com/entertainment/movie-reviews/english/The-Reluctant-Fundamentalist/movie-review/19816698.cms| title=The Reluctant Fundamentalist | publisher=indiatimes.com | accessdate=2013-05-16}}</ref></center>","","","","","","The Reluctant Fundamentalist (film)|The Reluctant Fundamentalist"
"Warner Bros.","Todd Phillips","Comedy ","","","","[[Variety (magazine)|Variety]]|date=May 8, 2013}}</ref></center>","The Hangover Part III"
"Sony Pictures Classics","Richard Linklater","Romance, Drama ","","","","ComingSoon.net","Before Midnight (film)|Before Midnight"
"20th Century Fox / Blue Sky Studios","Chris Wedge","Adventure, Comedy, Drama, Fantasy ","","","","ComingSoon.net","Epic (film)|Epic"
"RADiUS-TWC","Nicolas Winding Refn","Crime ","","","","ComingSoon.net","Only God Forgives"
"Columbia Pictures","M. Night Shyamalan","Sci-Fi ","","","","ComingSoon.net","After Earth"
"StudioCanal","Neil Jordan","Drama, Fantasy, Horror ","","","","filmdates.co.uk","Byzantium (film)|Byzantium"
"Summit Entertainment","Louis Leterrier","Crime film|Crime ","","","","ComingSoon.net","Now You See Me (film)|Now You See Me"
"Fox Searchlight Pictures","Zal Batmanglij","Crime ","","","","ComingSoon.net","The East (film)|The East"
"CBS Films","Jordan Vogt-Roberts","Comedy ","","","","ComingSoon.net","The Kings of Summer"
"Universal Studios|Universal Pictures","James DeMonaco","Sci-Fi, Thriller (genre)|Thriller ","Fi, Thriller (genre)|","","","odeon.co.uk","The Purge"
"Eros International","Ayan Mukerji","Romantic comedy film|romantic, comedy ","","","","boxofficeindia.com","Yeh Jawaani Hai Deewani"
"Freestyle Releasing","Michelle Danner","Drama ","","","","boxofficemojo.com","Hello Herman"
"Lions Gate Entertainment|Lionsgate / Roadside Attractions","Joss Whedon","Comedy ","","","","ComingSoon.net","Much Ado About Nothing (2012 film)|Much Ado About Nothing"
"20th Century Fox","Shawn Levy","Comedy ","","","","ComingSoon.net","The Internship"
"Freestyle Releasing","Lawrence Blume","Drama ","","","","ComingSoon.net","Tiger Eyes (film)|Tiger Eyes"
"GreeneStreet Films / Magic Violet","Geoffrey S. Fletcher","Action, Comedy, Drama ","","","","ComingSoon.net","Violet & Daisy"
"Columbia Pictures / Mandate Pictures","Evan Goldberg, Seth Rogen","Comedy, Sci-Fi ","","","","ComingSoon.net","This Is the End"
"Excel Entertainment","Mrighdeep Singh Lamba","Romance film|Romance, Comedy-Drama ","","","","bollywoodhungama.com","Fukrey"
"Warner Bros. / Legendary Pictures","Zack Snyder","Action, Adventure ","","","","ComingSoon.net","Man of Steel (film)|Man of Steel"
"A24 Films|A24","Sofia Coppola","Comedy, Crime ","","","","ComingSoon.net","The Bling Ring"
"Hasbro Studios","Jayson Thiessen","Comedy, Family ","","","","nytimes.com|accessdate=2013-05-13}}</ref></center>","My Little Pony: Equestria Girls"
